customer_id,age,region,tenure_months,num_orders,total_spend,avg_order_value,days_since_last_order,email_opens_30d,app_sessions_30d,churned,_acquisition_prob,_monthly_spend_intensity
0,26,W,88,1,3878.0470878671604,3878.0470878671604,111,2,3,1,0.5389811421443651,51.66145417861889
1,60,MW,50,2,9158.97951747551,4579.489758737755,42,4,5,0,0.6860912250153729,141.36087766240763
2,54,S,59,4,2519.5839351498385,629.8959837874596,3,8,4,0,0.7701192467573924,40.17255779518433
3,43,SE,34,1,2095.5591750899575,2095.5591750899575,60,5,4,1,0.44774278570741044,51.17279906342748
4,43,MW,85,1,3977.197106823536,3977.197106823536,51,10,7,0,0.7525951017586122,36.24921118548178
5,64,SE,8,1,267.4399577398004,267.4399577398004,89,7,0,0,0.9286085257007854,40.06626273473492
6,26,MW,27,3,3378.1280692016553,1126.042689733885,0,7,6,0,0.8596008883748163,99.70149033855162
7,56,SE,95,1,7556.179537985985,7556.179537985985,109,7,3,0,0.8027770281282105,67.59550645717606
8,32,SE,46,3,3881.6700569632317,1293.8900189877438,88,2,4,1,0.45759024007295684,86.74458539038696
9,26,W,17,2,749.5000538974039,374.75002694870193,71,3,2,1,0.3828921296171695,34.73496293029981
10,48,SE,40,1,3090.490506077921,3090.490506077921,103,10,6,1,0.240733662712944,73.30822435694316
11,70,SE,25,2,825.3539099626549,412.67695498132747,27,10,7,0,0.6213311643322715,35.2635730946725
12,58,S,50,1,1190.34948043834,1190.34948043834,48,8,6,0,0.7547257340870841,29.91041265596298
13,60,NE,23,1,1430.4451160474082,1430.4451160474082,35,5,3,0,0.4955816234863919,54.71206472600184
14,57,MW,38,3,2677.530429922255,892.5101433074183,33,8,6,1,0.7234987219745095,60.51203373902503
15,61,MW,87,1,4009.8425679021834,4009.8425679021834,108,6,0,0,0.26437144460589784,55.92466984541193
16,47,SE,8,2,556.8692457326615,278.43462286633076,108,5,2,1,0.36146223637067865,75.40708873761108
17,28,MW,73,2,4328.555232807741,2164.2776164038705,25,4,9,1,0.395672136577814,80.89118390704294
18,63,NE,8,2,787.792633771917,393.8963168859585,29,7,1,1,0.32571810361535697,95.2035934091448
19,44,W,44,1,1714.0308472028737,1714.0308472028737,11,13,7,1,0.6010089605306403,36.748874272083775
20,47,SE,64,5,8304.437413562822,1660.8874827125644,18,6,4,1,0.6713929049653808,107.32990447196
21,40,SE,91,1,8294.861603203837,8294.861603203837,110,1,3,1,0.20258835208371892,127.36285904336724
22,31,SE,24,1,857.6579746694699,857.6579746694699,23,9,3,0,0.47487170984082994,46.30252487749561
23,68,S,6,1,111.15902063556547,111.15902063556547,3,7,2,0,0.4616325533988571,25.769168105071284
24,61,W,72,1,3072.4921745582283,3072.4921745582283,104,5,1,1,0.5630782491617345,33.689540945734294
25,54,S,85,1,3799.10496671064,3799.10496671064,89,4,2,0,0.6394469293295669,44.35240249677592
26,42,W,54,5,7113.596200832373,1422.7192401664747,85,3,4,0,0.5075124212036459,155.41914958020655
27,63,W,6,1,270.0947918690542,270.0947918690542,17,13,4,0,0.8695988816326293,63.272319476919215
28,49,MW,48,1,1504.5965213255329,1504.5965213255329,2,12,4,1,0.6366595226201653,41.358052703778455
29,44,S,38,2,1725.4182843636177,862.7091421818088,79,7,4,1,0.46408327000407695,40.1077259861899
30,44,MW,43,1,1279.308016195596,1279.308016195596,66,8,4,0,0.7894959651968488,30.107519377039562
31,33,MW,6,3,553.8649641801147,184.62165472670492,22,12,8,1,0.21803846227947082,80.9279468196892
32,26,W,31,2,1604.3360824841516,802.1680412420758,54,4,4,0,0.3242788891172226,60.239664088234896
33,49,MW,95,2,12859.726870268329,6429.863435134164,107,9,0,1,0.4870752482678372,140.4600742559151
34,66,NE,5,3,350.1834663465707,116.72782211552357,108,6,2,1,0.3880697889936887,65.19180121139087
35,25,MW,87,3,5709.581228900352,1903.193742966784,5,5,11,1,0.28099240055601166,79.31849599396277
36,64,SE,50,1,2136.0187666719403,2136.0187666719403,4,2,4,1,0.7275410026865918,48.962408301835275
37,63,W,56,1,1689.2386042106077,1689.2386042106077,36,6,2,0,0.5218406702376707,38.428458435309196
38,35,MW,89,1,3696.5409186168554,3696.5409186168554,89,8,3,0,0.7203164023625452,36.85121386697129
39,53,W,21,1,747.1887573456261,747.1887573456261,93,4,1,0,0.7876018916923947,33.90629931498927
40,30,MW,94,5,7474.20013222155,1494.84002644431,62,6,4,1,0.6721809742987616,82.2429460714232
41,59,W,27,1,1483.2550301386748,1483.2550301386748,68,7,8,0,0.8391709261779821,52.80205487882614
42,57,NE,34,2,2056.622888243603,1028.3114441218015,56,4,6,1,0.22668445030119394,75.43449978210786
43,39,S,43,1,2964.3317321513364,2964.3317321513364,50,12,3,1,0.25393397327454686,58.04168626191646
44,25,MW,58,1,3201.2145690412844,3201.2145690412844,15,6,8,1,0.09482190228717542,47.85768638019185
45,70,SE,31,2,809.1297307998834,404.5648653999417,52,7,6,0,0.7073703570017474,32.25518237931532
46,44,SE,76,1,5852.603161523416,5852.603161523416,118,2,4,0,0.9025015956384953,62.535520908234595
47,66,SE,3,1,139.00352945645744,139.00352945645744,60,5,3,0,0.6136960883240522,49.4823055780078
48,55,MW,64,2,5129.721302998875,2564.8606514994376,71,9,5,0,0.7767573418395627,81.93963089892327
49,60,W,63,2,2920.5997661508704,1460.2998830754352,119,5,4,1,0.49681505825881117,45.50522425837642
50,59,S,51,2,4319.825597579419,2159.9127987897095,3,7,6,1,0.23155351615092115,72.04194350447179
51,31,W,59,1,6189.086377852077,6189.086377852077,80,5,3,1,0.15991977055093967,131.38654843287054
52,40,MW,72,1,3817.4686230113894,3817.4686230113894,30,8,3,0,0.42341131429421824,61.7226005715561
53,45,MW,86,1,8436.368907500115,8436.368907500115,58,4,5,1,0.28285570844853164,77.74087289370205
54,46,W,21,6,2153.5469841494514,358.9244973582419,1,5,8,0,0.3785397357731741,81.21602282682775
55,24,W,46,4,8043.426455415423,2010.8566138538558,38,3,3,1,0.4259796095966894,147.51105327178615
56,49,SE,54,1,2791.590662265032,2791.590662265032,65,9,2,0,0.6546059252316382,64.5346436048379
57,29,S,33,2,2609.491787966058,1304.745893983029,60,7,7,1,0.7225161759287898,74.81223815392426
58,59,MW,93,1,4833.472949545995,4833.472949545995,47,6,1,1,0.6845310111474687,53.7141134438902
59,56,W,49,1,1625.1422158730722,1625.1422158730722,110,5,4,0,0.5405542558978544,44.31339942107336
60,68,S,57,1,1346.739920883614,1346.739920883614,26,13,5,1,0.5255018035696559,31.700135060047298
61,59,W,19,1,2561.431399456221,2561.431399456221,26,6,11,1,0.8128194852899724,111.03858704199763
62,40,SE,40,2,1046.4429945641825,523.2214972820913,68,8,6,1,0.47983782534251485,34.68260564038926
63,70,MW,60,2,3953.8720910188604,1976.9360455094302,41,11,7,1,0.5013581520501017,76.37374802626029
64,42,NE,41,4,1920.3195590224132,480.0798897556033,33,8,6,1,0.5474913359461795,59.25481058425606
65,38,W,74,3,7338.626252371613,2446.2087507905376,7,6,6,0,0.30283143337653706,94.89446198382296
66,67,SE,13,2,650.8674387641395,325.43371938206974,62,4,3,1,0.48637215590062793,43.309828259343625
67,40,W,15,1,566.8671430562654,566.8671430562654,75,2,4,1,0.42694190639216234,43.98873070872925
68,25,S,33,2,2497.6823118679617,1248.8411559339809,68,6,5,1,0.3320053558690882,64.73275461705744
69,45,SE,31,1,1194.516293122435,1194.516293122435,92,4,5,0,0.0757023379666468,47.86795329738597
70,61,MW,78,3,2236.9461508232794,745.6487169410931,79,4,5,1,0.41106431617978545,31.37581108796895
71,31,W,83,3,10544.740126093104,3514.9133753643678,75,3,5,0,0.7038103242021796,150.21963198705555
72,45,MW,45,1,1673.6316888622846,1673.6316888622846,37,6,3,0,0.5273417519614404,38.239397232741624
73,28,SE,49,1,2204.477781934963,2204.477781934963,97,6,2,1,0.680012879302026,34.91321041848924
